443065	2076202	1
443069	2076204	1
443075	2076204	1
443080	2076205	0
443085	2076205	0
443092	2076207	0
443098	2076208	0
443104	2076209	0
443110	2076209	0
443116	2076211	0
443120	2076212	0
443124	2076214	0
443129	2076215	0
443132	2076217	0
443134	2076212	0
443131	2076211	0
443126	2076208	0
443118	2076206	0
443112	2076205	1
443108	2076204	1
443101	2076203	2
443095	2076202	0
443089	2076202	0
443083	2076201	0
443077	2076201	0
443074	2076201	0
443069	2076201	0
443063	2076200	0
443064	2076194	0
443071	2076195	0
443077	2076196	0
443081	2076196	0
443087	2076196	0
443093	2076196	0
443098	2076196	0
443104	2076197	0
443112	2076197	0
443117	2076197	0
443122	2076199	0
443128	2076202	0
443134	2076203	0
443136	2076204	0
443140	2076205	0
443143	2076197	0
443138	2076195	0
443132	2076194	0
443128	2076193	0
443124	2076193	0
443115	2076193	0
443114	2076192	2
443114	2076191	2
443107	2076190	2
443103	2076190	0
443096	2076189	1
443089	2076188	0
443083	2076188	0
443077	2076188	0
443071	2076188	1
443065	2076188	0
443069	2076184	0
443072	2076184	1
443077	2076185	0
443085	2076186	1
443088	2076187	0
443092	2076188	1
443099	2076187	0
443103	2076188	0
443108	2076187	0
443115	2076186	0
443122	2076188	0
443127	2076189	0
443131	2076191	0
443139	2076190	0
443145	2076191	0
443146	2076188	0
443142	2076186	0
443133	2076185	0
443128	2076184	0
443121	2076182	0
443115	2076181	0
443109	2076181	0
443103	2076181	0
443098	2076180	0
443093	2076180	1
443089	2076181	1
443084	2076181	1
443078	2076181	1
443073	2076180	1
443072	2076177	0
443077	2076175	0
443084	2076174	0
443087	2076175	0
443094	2076176	0
443100	2076176	0
443105	2076176	0
443110	2076176	0
443121	2076178	0
443125	2076178	0
443133	2076178	0
443138	2076178	2
443147	2076179	2
443151	2076179	2
443159	2076180	2
